2392.1	Kr	34.6	2.84H
2447.7	Bi	1.6	Long
2521.7	La	3.4	40.3H
2556	Kr	13.1	76.3M
2614.4	Tl	35.8	Long
2639.4	Cs	7.6	32.2M
2677.9	Rb	2.0	17.8M
2754.0	Na	99.9	14.7H
6129.2	N	68.8	7.13S
7115.2	N	4.7	7.13S
