CS134  563.2   8.4      2.1  y
CS134  569.3  15.4      2.1  y
CS134  604.7  97.6      2.1  y
CS134  795.8  85.4      2.1  y
CS134  801.9   8.7      2.1  y
CS134  1038.6  1.0      2.1  y
CS134  1167.9  1.8      2.1  y
CS134  1365.2   3.0     2.1  y
I134   135.4     3.8     53  m
I134   405.5     7.3     53  m
I134   433.4     4.2     53  m
I134   540.8     7.8     53  m
I134   595.4    11.4     53  m
I134   621.8    10.6     53  m
I134   677.3     8.5     53  m
I134   766.7     4.1     53  m
I134   847.0    95.4     53  m
I134   857.3    7.0      53  m
I134   884.1    65.3     53  m
I134   947.9     4.0     53  m
I134   974.7     4.7     53  m
I134   1072.6   15.3     53  m
I134   1136.2    9.7     53  m
I134   1806.8    5.7     53  m
I135   220.5    1.8     6.6  h
I135   288.5    3.1     6.6  h
I135   417.6    3.5     6.6  h
I135   546.6    7.1     6.6  h
I135   836.8    6.7     6.6  h
I135   972.2    1.2     6.6  h
I135   1038.8   7.9     6.6  h
I135   1101.6   1.6     6.6  h
I135   1124.0   3.6     6.6  h
I135   1131.5  22.5     6.6  h
I135   1260.4  28.6     6.6  h
I135   1457.6   8.6     6.6  h
I135   1502.8   1.1     6.6  h
I135   1566.4   1.3     6.6  h
I135   1678.0   9.5     6.6  h
I135   1260.4   4.1     6.6  h
I135   1706.5  28.6     6.6  h
I135   1791.2   7.7     6.6  h
XE135  249.8    89.9    9.1  h
XE135  608.2     2.9    9.1  h
XE135m 526.6      81.0   15  m
CS136  66.9       12.5   13  d
CS136  86.3        6.3   13  d
CS136  153.2       7.5   13  d
CS136  163.9       4.6   13  d
CS136  176.6      13.6   13  d
CS136  273.6      12.7   13  d
CS136  340.6      48.5   13  d
CS136  818.5      99.7   13  d
CS136  1048.1     79.6   13  d
CS136  1235.3     19.7   13  d
CS137  661.7      85.1   30  y
CS138  138.1      1.5    32  m
CS138  227.8      1.5    32  m
CS138  409.0      4.7    32  m
CS138  462.8     30.7    32  m
CS138  546.9     10.8    32  m
CS138  871.8      5.1    32  m
CS138  1009.8    29.8    32  m
CS138  1147.2     1.2    32  m
CS138  1343.6     1.1    32  m
CS138  1435.9     76.3   32  m
XE138  153.8       5.9   14  m
XE138  242.6       3.5   14  m
XE138  258.3      31.5   14  m
XE138  396.4       6.3   14  m
XE138  401.4       2.2   14  m
XE138  434.5      20.3   14  m
XE138  1768.3      16.7  14  m
XE138  2004.8       5.3  14  m
XE138  2015.8     12.3   14  m
BA139  165.9    17.0     83  m
CE139  165.9   80.3  137.66  d
BA140  162.6     6.7     13  d
BA140  304.8     4.5     13  d
BA140  423.7     3.2     13  d
BA140  437.5     2.0     13  d
BA140  537.3    25.0     13  d
LA140  328.8    20.5     13  d
LA140  432.5     2.9     13  d
LA140  487.0    45.5     13  d
LA140  751.8     4.4     13  d
LA140  815.8    23.5     13  d
LA140  867.8     5.6     13  d
LA140  919.6     2.9     13  d
LA140  925.5     7.1     13  d
LA140  1596.5   95.5     13  d
CE141  145.4    48.4     32  d
CE144  80.1   1.6     284.3  d
CE144  133.5 10.8     284.3  d
EU152  121.8    28.4     14  y
EU152  244.7     7.5     14  y
EU152  344.3    26.5     14  y
EU152  411.3     2.2     14  y
EU152  444.0     3.1     14  y
EU152  778.9    12.7     14  y
EU152  867.3     4.2     14  y
EU152  964.0    14.4     14  y
EU152  1085.8    10.0    14  y
EU152  1112.0    13.3    14  y
EU152  1408.0    20.7    14  y
W187   134.2      9.5    24  h
W187   479.5      23.4   24  h
W187   551.5      5.4    24  h
W187   618.4      6.7    24  h
W187   625.5      1.2    24  h
W187   685.8      29.2   24  h
W187   772.9      4.4    24  h
HG203  279.2      77.3   47  d
BI211   72.9    1.2   7E+08  y
BI211   352.1  12.2   7E+08  y
BI211   404.8   4.1   7E+08  y
BI211   526.9   1.9   7E+08  y
BI211   831.8   3.3   7E+08  y
PI211   404.8   3.0   7E+08  y
PI211   427.1   1.4   7E+08  y
PI211   831.8    2.8  7E+08  y
BI212   39.9   1.1   1.4E10  y
BI212   727.2  11.8  1.4E10  y
BI212   785.4  2.0   1.4E10  y
BI212   1620.6  2.8  1.4E10  y
PB212   74.8    9.6  1.4E10  y
PB212   77.1   17.5  1.4E10  y
PB212   87.2    6.3  1.4E10  y
PB212   89.8    1.8  1.4E10  y
PB212   115.2   0.6  1.4E10  y
PB212   238.6   44.6 1.4E10  y
PB212   300.1  3.4   1.4E10  y
BI214   609.3  46.3  1600.1  y
BI214   768.4   5.0  1600.1  y
BI214   806.4   1.2  1600.1  y
BI214   934.1   3.2  1600.1  y
BI214   1120.3 15.1  1600.1  y
BI214   1155.2  1.7  1600.1  y
BI214   1238.1  5.9  1600.1  y
BI214   1281.1  1.5  1600.1  y
BI214   1377.7  4.1  1600.1  y
BI214   1385.3  0.8  1600.1  y
BI214   1401.5  1.4  1600.1  y
